4270261,omega,0.5, 0.5,phi,0.25137703630485064, 0.25171792442393714, 0.2445575183649194, 0.2523475209062927,count precision recall f1 iter,0,0.0,0.0,0,1,['embryo imag', 'scale multimedia', 'imag databas', 'evalu purpos']
58630,omega,0.5, 0.49999999999999994,phi,0.25782384829831667, 0.25946034011734526, 0.2232483777060365, 0.2594674338783017,count precision recall f1 iter,1,0.25,0.25,0.25,1,['hierarch cluster', 'non-parametr cluster', 'cluster method', 'model-bas cluster']
4794787,omega,0.5, 0.5,phi,0.2515291519379638, 0.2520599410772605, 0.2443979918587767, 0.25201291512599905,count precision recall f1 iter,0,0.0,0.0,0,1,['knowledg discoveri', 'kdd process', 'user-cent kdd', 'visual tool']
902409,omega,0.5, 0.5,phi,0.254844298697174, 0.25582763433594957, 0.23302881158975153, 0.2562992553771248,count precision recall f1 iter,0,0.0,0.0,0,1,['cancer patient', 'patient record', 'outcom analysi', 'colon cancer']
11980488,omega,0.49999999999999994, 0.5,phi,0.2498692414643958, 0.2500684210820665, 0.24948780989066136, 0.2505745275628763,count precision recall f1 iter,0,0.0,0.0,0,1,['group effect', 'structur inform', 'base classif', 'base learner']
434661,omega,0.5, 0.49999999999999994,phi,0.2907944062140295, 0.2912170404587938, 0.12637749435329082, 0.29161105897388584,count precision recall f1 iter,0,0.0,0.0,0,1,['period pattern', 'seri data', 'time seri', 'asynchron period']
980627,omega,0.5, 0.5,phi,0.26343372721197605, 0.26647699909112676, 0.2036975160421596, 0.2663917576547376,count precision recall f1 iter,1,0.25,0.25,0.25,1,['workflow model', 'workflow represent', 'mine workflow', 'workflow mine']
27107,omega,0.5, 0.49999999999999994,phi,0.25572686865447036, 0.2563157927808867, 0.23156569249734138, 0.25639164606730164,count precision recall f1 iter,1,0.25,0.16666666666666666,0.2,1,['profil techniqu', 'simpl profil', 'mixtur model', 'model techniqu']
9479071,omega,0.5, 0.5,phi,0.25239610944251095, 0.2529679565520502, 0.24140824190315563, 0.2532276921022831,count precision recall f1 iter,0,0.0,0.0,0,1,['network data', 'risk minim', 'social network', 'graph structur']
1225233,omega,0.5, 0.5,phi,0.2519444728181407, 0.25787620721350923, 0.23259522484319262, 0.2575840951251574,count precision recall f1 iter,1,0.25,0.25,0.25,1,['nomogram', 'model visual', 'visual techniqu', 'easy-to-interpret visual']
303639,omega,0.5, 0.5,phi,0.26390225839851245, 0.2644954978910624, 0.20691894292895704, 0.2646833007814681,count precision recall f1 iter,1,0.25,0.16666666666666666,0.2,1,['cluster algorithm', 'cluster model', 'overlap cluster', 'mixtur model']
4738342,omega,0.5, 0.5,phi,0.25156553643739504, 0.25233526101909065, 0.24356859155510827, 0.25253061098840596,count precision recall f1 iter,1,0.25,0.2,0.22222222222222224,1,['cost quantif', 'class prior', 'classif threshold', 'class imbal']
9662316,omega,0.5, 0.49999999999999994,phi,0.2548916800486111, 0.2558594250097118, 0.23315120286399255, 0.2560976920776845,count precision recall f1 iter,0,0.0,0.0,0,1,['network inform', 'network format', 'network connect', 'blog site']
9389455,omega,0.5, 0.5,phi,0.2512929087522485, 0.2516190663843885, 0.24522994853779506, 0.25185807632556784,count precision recall f1 iter,1,0.25,0.2,0.22222222222222224,1,['learn method', 'tradit learn', 'contextu advertis', 'multiple-inst learn']
552094,omega,0.5, 0.5,phi,0.2524913687534824, 0.25412831596319735, 0.23895991867694372, 0.2544203966063765,count precision recall f1 iter,1,0.25,0.25,0.25,1,['window size', 'attack profil', 'shill attack', 'disjoint window']
9965882,omega,0.49999999999999994, 0.5,phi,0.2543389469540206, 0.2551002661214103, 0.23526135844618812, 0.2552994284783809,count precision recall f1 iter,1,0.25,0.5,0.3333333333333333,1,['data stream', 'stream applic', 'stream learn', 'predict stream']
4740231,omega,0.5, 0.49999999999999994,phi,0.25864055287482784, 0.2588830202620086, 0.2234682552988599, 0.2590081715643037,count precision recall f1 iter,2,0.5,0.6666666666666666,0.5714285714285715,1,['various system', 'new system', 'perform forecast', 'enterpris system']
3744882,omega,0.5, 0.5,phi,0.25027090360401516, 0.2502739747145462, 0.24879426151602851, 0.2506608601654103,count precision recall f1 iter,0,0.0,0.0,0,1,['session cluster', 'web session', 'trend sequenc', 'sequenc scenario']
10005232,omega,0.5, 0.5,phi,0.25258235732012485, 0.25300573219020484, 0.24110948797024329, 0.253302422519427,count precision recall f1 iter,0,0.0,0.0,0,1,['drag algorithm', 'algorithm drag', 'featur group', 'select algorithm']
4306370,omega,0.5, 0.5,phi,0.2542804147324753, 0.255268463645464, 0.2348543642502515, 0.2555967573718092,count precision recall f1 iter,0,0.0,0.0,0,1,['secur dealer', 'small group', 'relat data', 'much work']
11669627,omega,0.5, 0.5,phi,0.2496465445139883, 0.2529898703732385, 0.24422168927859933, 0.2531418958341739,count precision recall f1 iter,0,0.0,0.0,0,1,['offset tree', 'classif algorithm', 'test time', 'altern approach']
9133885,omega,0.49999999999999994, 0.5,phi,0.2867507174934702, 0.28804641171576073, 0.13734936429876207, 0.287853506492007,count precision recall f1 iter,1,0.25,0.3333333333333333,0.28571428571428575,1,['matrix factor', 'factor relat', 'rate matrix', 'collect matrix']
1209092,omega,0.49999999999999994, 0.5,phi,0.25738757789480116, 0.2579577164098427, 0.22669203018491005, 0.2579626755104461,count precision recall f1 iter,0,0.0,0.0,0,1,['base cluster', 'data cluster', 'multipl cluster', 'label aggreg']
794717,omega,0.5, 0.5,phi,0.25938598437955745, 0.26251614264587714, 0.2155869581070101, 0.2625109148675553,count precision recall f1 iter,0,0.0,0.0,0,1,['storytel implement', 'effici storytel', 'search branch', 'search procedur']
303682,omega,0.5, 0.5,phi,0.2504047974058279, 0.25038966369500687, 0.248503251198738, 0.25070228770042713,count precision recall f1 iter,0,0.0,0.0,0,1,['hybrid cluster', 'cluster tree', 'correspond cluster', 'cluster algorithm']
10001128,omega,0.5, 0.5,phi,0.2531698810160936, 0.2556900463544478, 0.2354484873129687, 0.25569158531648994,count precision recall f1 iter,0,0.0,0.0,0,1,['opinion mine', 'applic opinion', 'compar sentenc', 'sentenc talk']
5133167,omega,0.5, 0.49999999999999994,phi,0.2584618770777806, 0.260699903407964, 0.22027626698802824, 0.2605619525262271,count precision recall f1 iter,0,0.0,0.0,0,1,['statist deviat', 'evalu score', 'evalu data', 'controversi object']
