4270261,omega,0.5000012212858634, 0.49999877871413656,phi,0.5549326088857685, 0.4450673911142315,count precision recall f1 iter,0,0.0,0.0,0,13,['databas', 'imag databas', 'multimedia databas', 'databas scale']
58630,omega,0.49991851014334937, 0.5000814898566507,phi,0.4034462248487615, 0.5965537751512384,count precision recall f1 iter,1,0.25,0.25,0.25,21,['refraction', 'goal', 'procedur', 'extens']
4794787,omega,0.5000966673960365, 0.4999033326039635,phi,0.5370199385264826, 0.46298006147351756,count precision recall f1 iter,0,0.0,0.0,0,17,['process', 'kdd process', 'entir process', 'user-cent process']
902409,omega,0.4999580448121291, 0.5000419551878709,phi,0.5500507698704398, 0.4499492301295602,count precision recall f1 iter,0,0.0,0.0,0,16,['record', 'patient record', 'cancer patient record', 'hospit patient record']
11980488,omega,0.5000580329553111, 0.4999419670446889,phi,0.5041853309583101, 0.4958146690416899,count precision recall f1 iter,1,0.25,0.2,0.22222222222222224,15,['classif', 'success classif', 'qualiti classif', 'graph classif']
434661,omega,0.5, 0.49999999999999994,phi,0.5362756053916639, 0.4637243946083361,count precision recall f1 iter,0,0.0,0.0,0,1,['period pattern', 'seri data', 'time seri', 'asynchron period']
980627,omega,0.5000584548126775, 0.4999415451873226,phi,0.6677322549993467, 0.33226774500065315,count precision recall f1 iter,1,0.25,0.25,0.25,23,['mine', 'workflow mine', 'mine workflow', 'mine workflow mine']
27107,omega,0.5000625418111871, 0.49993745818881286,phi,0.6102609015292025, 0.3897390984707974,count precision recall f1 iter,0,0.0,0.0,0,19,['predict', 'predict power', 'predict transact', 'predict transact data']
9479071,omega,0.5000937241761557, 0.49990627582384434,phi,0.5421315446652325, 0.45786845533476744,count precision recall f1 iter,0,0.0,0.0,0,17,['data', 'real-world data', 'network data', 'social network data']
1225233,omega,0.4999713702301813, 0.5000286297698187,phi,0.5819602236337463, 0.4180397763662535,count precision recall f1 iter,1,0.25,0.25,0.25,21,['machin', 'vector machin', 'support vector machin', 'simpl']
303639,omega,0.5001245928163286, 0.4998754071836714,phi,0.302602610491633, 0.6973973895083669,count precision recall f1 iter,1,0.25,0.16666666666666666,0.2,20,['cluster', 'cluster model', 'overlap cluster', 'cluster algorithm']
4738342,omega,0.5000040053793746, 0.49999599462062533,phi,0.5559937273602696, 0.44400627263973036,count precision recall f1 iter,0,0.0,0.0,0,24,['imbal', 'class imbal', 'paper', 'class prior']
9662316,omega,0.4997894370591304, 0.5002105629408695,phi,0.6364237456627309, 0.363576254337269,count precision recall f1 iter,2,0.5,0.4,0.4444444444444445,26,['dimens', 'social dimens', 'network', 'social media']
9389455,omega,0.5000018290693214, 0.4999981709306785,phi,0.5016020926222384, 0.49839790737776146,count precision recall f1 iter,1,0.25,0.2,0.22222222222222224,12,['advertis', 'contextu advertis', 'detect', 'site']
552094,omega,0.4999702354054236, 0.5000297645945764,phi,0.5494830251334066, 0.45051697486659337,count precision recall f1 iter,1,0.25,0.25,0.25,19,['system', 'recommend system', 'futur recommend system', 'recent']
9965882,omega,0.4999900838239985, 0.5000099161760014,phi,0.6390376306851012, 0.3609623693148988,count precision recall f1 iter,0,0.0,0.0,0,23,['algorithm', 'algorithm learn', 'learn algorithm', 'algorithm learn algorithm']
4740231,omega,0.5000160459653027, 0.49998395403469736,phi,0.5136478604844643, 0.48635213951553574,count precision recall f1 iter,1,0.25,0.3333333333333333,0.28571428571428575,12,['system', 'various system', 'new system', 'enterpris system']
3744882,omega,0.5000583132274176, 0.49994168677258255,phi,0.5270129681853298, 0.4729870318146703,count precision recall f1 iter,0,0.0,0.0,0,22,['clickstream', 'web clickstream', 'clickstream data', 'web clickstream data']
10005232,omega,0.5000204179274933, 0.49997958207250665,phi,0.5515039712534451, 0.4484960287465549,count precision recall f1 iter,0,0.0,0.0,0,16,['group', 'group selector', 'attribut group', 'dens group']
4306370,omega,0.5000124586862664, 0.49998754131373363,phi,0.6351334681904538, 0.3648665318095462,count precision recall f1 iter,0,0.0,0.0,0,26,['pattern', 'employ pattern', 'famili', 'employ record']
