10001128,0.2,['problem', 'sentenc', 'product', 'opinion', 'effect']
10005232,0.2,['featur', 'group', 'algorithm', 'framework', 'dens']
10010518,0.2,['patent', 'coa', 'ip', 'rank', 'system']
10011554,0.4,['problem', 'sequenc', 'local', 'summari', 'event']
10017791,0.2,['method', 'rtf', 'tag', 'hosvd', 'optim']
10038011,0.2,['petroglyph', 'rock', 'mine', 'studi', 'impact']
10061437,0.4,['approach', 'queri', 'abandon', 'object', 'number']
10078748,0.2,['influenc', 'topic', 'network', 'tap', 'learn']
10095848,0.2,['network', 'label', 'method', 'node', 'inform']
1009607,0.2,['data', 'such', 'rotat', 'handwrit', 'measur']
10105197,0.4,['network', 'model', 'group', 'actor', 'experi']
10151654,0.4,['data', 'applic', 'chiller', 'approach', 'frequent']
10164574,0.2,['entiti', 'such', 'algorithm', 'fashion', 'categor']
10181044,0.2,['bgp', 'updat', 'phenomenon', 'interest', 'showcas']
10186200,0.2,['node', 'shortest-path', 'dissimilar', 'graph', 'measur']
10193735,0.2,['domain', 'approach', 'sourc', 'space', 'dataset']
10201372,0.4,['model', 'data', 'method', 'consensus', 'cluster']
10201458,0.4,['algorithm', 'framework', 'pattern', 'biclust', 'data']
10224533,0.4,['discriminatori', 'rule', 'credit', 'discrimin', 'background']
10236111,0.4,['snp-pair', 'test', 'fastanova', 'anova', 'snps']
10257235,0.4,['tradeoff', 'privaci', 'repositori', 'portfolio', 'learn']
10269043,0.2,['behavior', 'featur', 'relationship', 'user', 'bimrf']
10275752,0.2,['advertis', 'match', 'algorithm', 'clickthrough', 'approach']
10284571,0.4,['search', 'queri', 'log', 'data-driven', 'infrastructur']
10285045,0.2,['crawler', 'coverag', 'forum', 'page', 'bandwidth']
10346388,0.2,['model', 'score', 'false-posit', 'regress', 'spam']
10351682,0.4,['approach', 'differ', 'data', 'abod', 'high-dimension']
10489135,0.4,['algorithm', 'approxim', 'result', 'time', 'communiti']
1049322,0.6,['paintingclass', 'decis', 'tree', 'classif', 'user']
10508839,0.2,['defect', 'softwar', 'escal', 'cost-sensit', 'ep']
10514814,0.2,['state', 'data', 'chang', 'techniqu', 'california']
10561862,0.2,['heap', 'leak', 'problem', 'approach', 'graph']
10597102,0.4,['inform', 'network', 'site', 'news', 'media']
10655059,0.2,['opinion', 'aspect', 'review', 'rate', 'entiti']
1071109,0.6,['graph', 'approach', 'mine', 'connect', 'closecut']
10757352,0.2,['claim', 'problem', 'insur', 'error', 'auditor']
10837032,0.6,['co-clust', 'dataflow', 'rate', 'implement', 'netflix']
10837037,0.2,['approach', 'rule', 'biolog', 'dynam', 'time']
10843921,0.2,['data', 'commerci', 'task', 'queri', 'accuraci']
10843923,0.4,['object', 'classif', 'web', 'problem', 'tag']
