4270261,precision,0.0,recall,0.0,['margin learning approach', 'learning framework', 'margin based learning', 'learning approach', 'margin learning', 'based learning', 'emml framework', 'emml approach', 'scale multimedia database', 'general framework']
58630,precision,0.1,recall,0.25,['non-parametric hierarchical clustering', 'hierarchical model-based clustering', 'clustering of large', 'non-parametric clustering', 'hierarchical clustering', 'model-based clustering', 'goal of clustering', 'clustering methods', 'idea called fractionation', 'datasets through fractionation']
4794787,precision,0.3,recall,0.6,['knowledge discovery process', 'process viewing knowledge', 'discovery process', 'user-centered kdd process', 'knowledge discovery', 'user with data', 'user-centered process', 'kdd process', 'whole discover process', 'entire process']
902409,precision,0.0,recall,0.0,['structured clinical data', 'records existing patient', 'records into structured', 'recorded in unstructured', 'outcomes analysis', 'interpretation and analysis', 'data in patient', 'clinical data', 'structured clinical', 'extract key']
11980488,precision,0.1,recall,0.2,['learning methods', 'grouping effect', 'effect for nearby', 'graph classification', 'classification algorithm', 'based classification', 'learners have structure', 'base learners', 'experimental study', 'classification models']
434661,precision,0.16666666666666666,recall,0.3333333333333333,['patterns in time', 'periodic patterns', 'asynchronous periodic', 'time series', 'mining asynchronous', 'series data']
980627,precision,0.0,recall,0.0,['workflow model', 'learning algorithm', 'model of such', 'such processes', 'corresponding learning', 'machine learning', 'learning tools', 'model is available', 'business process', 'workflow representation']
27107,precision,0.1,recall,0.16666666666666666,['data mining applications', 'data with applications', 'probabilistic mixture models', 'retail transaction data', 'applications to profiling', 'application of probabilistic', 'data on individuals', 'mixture models', 'modeling of transaction', 'probabilistic modeling']
9479071,precision,0.4,recall,0.4,['learning on networked', 'semi-supervised learning', 'within-network learning', 'active learning', 'learning problem', 'learning algorithm', 'learning are important', 'networked data', 'network analytic', 'social network']
1225233,precision,0.2,recall,0.5,['model visualization', 'easy-to-interpret visualization', 'visualization technique', 'visualization the analysts', 'established model', 'vector machines', 'complete model', 'support vector', 'effects of predictive', 'number of attributes']
303639,precision,0.1,recall,0.16666666666666666,['clustering model', 'clustering algorithms', 'overlapping clustering', 'majority of clustering', 'mixture models', 'eachmovie datasets', 'synthetic data', 'biological datasets', 'world datasets', 'necessary algorithm']
4738342,precision,0.1,recall,0.2,['cost quantification', 'learning research', 'machine learning', 'research methodology', 'classification threshold', 'individual classifications', 'supervised machine', 'class distribution', 'task for supervised', 'error and class']
9662316,precision,0.1,recall,0.2,['network connectivity', 'discriminative learning', 'relational learning', 'learning via latent', 'learning methods', 'same network', 'network information', 'network format', 'connections in social', 'affiliations of actors']
9389455,precision,0.1,recall,0.2,['traditional learning methods', 'multiple-instance learning', 'learning from multi-topic', 'traditional learning', 'sub-document classification', 'learning methods', 'pages are multi-topic', 'page level', 'web pages', 'application of multiple-instance']
552094,precision,0.1,recall,0.25,['number of attack', 'window size', 'detecting shilling attacks', 'attack event', 'disjoint windows', 'attack profiles', 'shilling attacks', 'optimal window', 'attacks given reasonable', 'attack detection']
9965882,precision,0.1,recall,0.5,['stream learning', 'learning algorithm', 'data streams', 'evaluation of stream', 'predictive stream', 'streaming applications', 'requirement for streaming', 'several stream', 'testing using mcnemar', 'generating data']
4740231,precision,0.1,recall,0.3333333333333333,['predictions on systems', 'enterprise systems', 'systems in hewlett-packard', 'system and workload', 'new systems', 'classes of system', 'systems with insufficient', 'various systems', 'systems defies human', 'performance in enterprise']
3744882,precision,0.1,recall,0.16666666666666666,['session clusters', 'clustering approach', 'immune based clustering', 'web clickstream data', 'learning stages', 'early learning', 'web session', 'web data', 'mining evolving data', 'scalable data']
10005232,precision,0.0,recall,0.0,['classification accuracy', 'high classification', 'dense feature groups', 'selection algorithms', 'groups many feature', 'feature groups', 'dense feature', 'dense group', 'algorithm is effective', 'drags algorithm']
4306370,precision,0.0,recall,0.0,['individuals from employment', 'tribes-groups of individuals', 'tribes contain individuals', 'sets of individuals', 'close-knit individuals', 'community structure', 'structure describes large-scale', 'large-scale trends', 'work inferring community', 'family of algorithms']
11669627,precision,0.0,recall,0.0,['classification algorithm', 'binary classification', 'binary classifier', 'reduction to binary', 'setting to binary', 'times the regret', 'number of choices', 'optimal reduction', 'offset tree', 'partial labels']
9133885,precision,0.1,recall,0.3333333333333333,['matrix factorization', 'collective matrix', 'several existing matrix', 'ratings matrix', 'factorization relational', 'low-rank matrix', 'factorization model', 'parameters among factors', 'factorization methods', 'relations among entities']
1209092,precision,0.0,recall,0.0,['data clustering', 'multiple clustering', 'clustering solutions', 'combination of multiple', 'combined solution', 'aggregation data', 'multiple classifications', 'aggregation of solutions', 'base clustering', 'combination approaches']
