4270261,precision,0.0,recall,0.0,['learning framework', 'learning approach', 'margin learning', 'based learning', 'emml framework']
58630,precision,0.2,recall,0.25,['model-based clustering', 'non-parametric clustering', 'hierarchical clustering', 'clustering methods', 'further extension']
4794787,precision,0.4,recall,0.4,['discovery process', 'knowledge discovery', 'user-centered process', 'kdd process', 'entire process']
902409,precision,0.0,recall,0.0,['patient records', 'outcomes analysis', 'extract key', 'hospital patient', 'structured clinical']
11980488,precision,0.2,recall,0.2,['graph classification', 'structure relationships', 'classification models', 'classification algorithm', 'undirected graph']
434661,precision,0.2,recall,0.3333333333333333,['periodic patterns', 'asynchronous periodic', 'time series', 'mining asynchronous', 'series data']
980627,precision,0.0,recall,0.0,['workflow model', 'learning algorithm', 'corresponding learning', 'learning tools', 'machine learning']
27107,precision,0.2,recall,0.16666666666666666,['transaction data', 'data mining', 'mining applications', 'individual page-requests', 'basket data']
9479071,precision,0.6,recall,0.3,['networked data', 'semi-supervised learning', 'within-network learning', 'active learning', 'network analytic']
1225233,precision,0.2,recall,0.25,['visualization technique', 'easy-to-interpret visualization', 'model visualization', 'support vector', 'trained support']
303639,precision,0.2,recall,0.16666666666666666,['clustering model', 'clustering algorithms', 'overlapping clustering', 'eachmovie datasets', 'mixture models']
4738342,precision,0.0,recall,0.0,['learning research', 'machine learning', 'imperfect classifiers', 'classification threshold', 'individual classifications']
9662316,precision,0.2,recall,0.2,['discriminative learning', 'relational learning', 'learning methods', 'network connectivity', 'network information']
9389455,precision,0.0,recall,0.0,['multiple-instance learning', 'traditional learning', 'learning methods', 'traditional methods', 'web pages']
552094,precision,0.2,recall,0.25,['attack profiles', 'attack event', 'shilling attacks', 'attack detection', 'practical applications']
9965882,precision,0.2,recall,0.5,['stream learning', 'algorithms learning', 'data streams', 'streaming applications', 'predictive stream']
4740231,precision,0.4,recall,0.6666666666666666,['enterprise systems', 'performance forecasting', 'various systems', 'new systems', 'performance targets']
3744882,precision,0.2,recall,0.16666666666666666,['learning stages', 'early learning', 'data mining', 'web data', 'coverage criteria']
10005232,precision,0.2,recall,0.16666666666666666,['classification accuracy', 'high classification', 'feature groups', 'selection algorithms', 'feature selection']
4306370,precision,0.0,recall,0.0,['close-knit individuals', 'securities dealers', 'risk scores', 'national association', 'employment patterns']
11669627,precision,0.0,recall,0.0,['classification algorithm', 'binary classification', 'offset tree', 'binary classifier', 'optimal reduction']
9133885,precision,0.2,recall,0.3333333333333333,['matrix factorization', 'collective matrix', 'ratings matrix', 'low-rank matrix', 'factorization relational']
1209092,precision,0.0,recall,0.0,['data clustering', 'multiple clustering', 'clustering solutions', 'aggregation data', 'base clustering']
794717,precision,0.0,recall,0.0,['pubmed index', 'bioinformatics dataset', 'same set', 'object sets', 'set system']
303682,precision,0.2,recall,0.2,['model-based clustering', 'corresponding clusters', 'hybrid clustering', 'clustering method', 'cluster tree']
